,0,1,2,3,4,5,6,7,8,9,10,11
160,2353319,"Zèmpasgo	Zempasgo	Zamparaga,Zempasgo,Zèmpasgo	12.25	-0.73333	P	PPL	BF		11				0		309	Africa/Ouagadougou	2020-06-10",,,,,,,,,,
161,2353320,Zémpana	Zempana		12.8	-3.5	P	PPL	BF		01				0		257	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
162,2353321,Zémouapare	Zemouapare		10.21667	-2.83333	P	PPL	BF		13				0		259	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
163,2353322,Zélougou	Zelougou		11.13333	-0.63333	P	PPL	BF		04				0		248	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
164,2353323,Zélogo	Zelogo		10.96667	-0.88333	P	PPL	BF		07				0		209	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
165,2353324,Zélemsondé	Zelemsonde		13.56317	-0.47425	P	PPL	BF		05	64			0		272	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
166,2353325,Zélasié	Zelasie		12.45	-2.8	P	PPL	BF		01				0		261	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
167,2353326,"Zila	Zila	Zela,Zila,Zéla	12.45774	-1.79665	P	PPL	BF		11	60			0		335	Africa/Ouagadougou	2018-08-07",,,,,,,,,,
168,2353327,"Zékounga	Zekounga	Zakou,Zekounga,Zékounga	12.38967	-1.67532	P	PPL	BF		03	53			0		318	Africa/Ouagadougou	2020-06-10",,,,,,,,,,
169,2353328,Zéko	Zeko		12.25	-0.58333	P	PPL	BF		11				0		326	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
170,2353329,"Zinkemzougou	Zinkemzougou	Zekamsougoye,Zekemzougou,Zinkemzougou,Zékamsougoye,Zékèmzougou,Zékémzougou	12.31501	-1.91917	P	PPL	BF",06	19			0,3,8	Af,ic,Ou,ga,gou	20,-08,07,
171,2353330,Zéka	Zeka		13.08212	-1.305	P	PPL	BF		05	70			0		321	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
172,2353331,Zéhui	Zehui		12.9067	-4.159	P	PPL	BF		01	58			0		316	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
173,2353332,"Zinguédéssé	Zinguedesse	Zeguedesse,Zinguedesse,Zinguédéssé,Zéguédessé,Zéguédéssé	12.24661	-1.58402	P	PPL	BF		03	53			0		309	Afr",ca/Ouagadou,o,201,-0,07,,,,,
